               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10807,              0.1726,                   0,            0.026698,             0.29843,             0.02096,           0.0051851,            0.092757,             0.34624,                   0,            0.070417,            0.003287,            0.003287
                   1,            0.091658,             0.16738,                   0,             0.20302,             0.27138,             0.13697,            0.044902,            0.082803,              0.3158,                   0,            0.040395,           0.0065985,           0.0065985
                   2,            0.080914,             0.16296,                   0,             0.35499,             0.39965,             0.27572,            0.092653,            0.078839,             0.37032,                   0,            0.010351,            0.009888,            0.009888
                   3,            0.074196,             0.15506,                   0,              0.2881,             0.61145,             0.30644,             0.10132,            0.071231,             0.25304,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.068151,             0.14092,                   0,             0.60699,             0.77895,             0.67267,             0.25987,            0.056894,             0.22177,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.061279,             0.13526,                   0,             0.77394,              0.7575,             0.81196,             0.37596,            0.052755,             0.21172,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.059837,             0.12712,                   0,             0.61858,             0.80552,             0.71766,              0.3322,            0.057073,             0.19148,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.055488,             0.12403,                   0,             0.78107,              0.7603,             0.74856,              0.2196,            0.062588,             0.21094,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.053045,             0.12196,                   0,             0.95106,             0.89939,             0.95959,             0.57704,            0.043422,             0.17091,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.050931,             0.11162,                   0,             0.96331,             0.90087,             0.96587,             0.49808,            0.045635,             0.17283,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.048986,             0.11022,                   0,             0.96559,             0.89555,              0.9617,             0.59624,            0.040608,             0.16834,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.047341,             0.10899,                   0,             0.95522,              0.9306,             0.97575,             0.63122,             0.03757,             0.15601,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.046539,             0.10358,                   0,             0.95787,             0.91126,             0.96615,             0.57882,            0.042693,             0.16298,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.045662,            0.099621,                   0,             0.96555,             0.89791,             0.97211,             0.68697,            0.034752,             0.14944,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.042776,             0.10065,                   0,             0.96896,             0.93974,             0.98195,             0.67029,            0.036631,             0.15512,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.043343,            0.098617,                   0,             0.97126,             0.93281,             0.98132,             0.67086,            0.034199,             0.14622,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.04243,            0.097348,                   0,             0.97528,             0.93639,             0.98094,             0.68056,            0.034283,             0.14598,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.042144,            0.093185,                   0,             0.97544,             0.93962,             0.98355,             0.67564,             0.03368,              0.1398,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.040795,            0.095501,                   0,             0.97343,             0.95175,             0.98717,             0.69486,            0.033467,             0.14498,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.040442,            0.094655,                   0,             0.96887,             0.94607,             0.98503,             0.69816,            0.034008,             0.14378,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.038688,            0.087703,                   0,             0.97428,             0.94867,             0.98542,             0.73227,            0.031567,             0.13927,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.038589,            0.091261,                   0,             0.97785,             0.94382,             0.98511,             0.70009,            0.033025,             0.13542,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.038885,            0.088777,                   0,             0.98078,             0.94395,             0.98492,             0.74406,            0.030621,             0.13436,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.038732,            0.087597,                   0,             0.97475,             0.94712,             0.98576,             0.73151,            0.031439,             0.13209,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.037856,            0.085532,                   0,             0.97624,             0.93935,             0.98184,             0.73052,            0.030765,             0.13547,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.037676,            0.088977,                   0,             0.97148,             0.95506,             0.98665,             0.74797,            0.029929,             0.13009,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.03698,            0.086722,                   0,             0.97547,             0.94389,             0.98547,             0.73298,            0.030358,             0.13223,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.03748,            0.086705,                   0,             0.97542,             0.95567,             0.98758,             0.77341,             0.02903,             0.12751,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.036235,            0.082691,                   0,              0.9791,             0.95576,             0.98735,             0.78384,            0.027756,             0.12439,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.036022,            0.084992,                   0,             0.98162,             0.93787,             0.98389,             0.77309,             0.02849,             0.12663,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.035909,            0.081205,                   0,              0.9804,             0.95323,             0.98781,             0.74807,            0.028893,             0.12319,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.034794,            0.081603,                   0,              0.9797,             0.95375,             0.98834,             0.75735,            0.029334,             0.12706,                   0,             0.00901,             0.00901,             0.00901
